Destination,Budget,Climate,Travel_Type,Best_Season,Duration_Days,Avg_Temperature,Avg_Cost,Rating,Crowd_Level,Accommodation_Type,Family_Friendly,Travel_Method
Goa,Low,Warm,Beach,Winter,5,28°C,₹8819,1.98,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,2,28°C,₹8976,1.87,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,32°C,₹17115,4.04,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,29°C,₹19029,1.37,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,9,28°C,₹23054,1.5,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,2,,₹14300,1.18,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,31°C,₹17108,3.54,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,3,30°C,₹10339,3.14,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,6,32°C,₹15196,4.37,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,4,30°C,₹10168,4.65,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,3,29°C,₹16679,1.99,Medium,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,8,29°C,₹24696,1.36,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,7,31°C,₹10081,2.53,High,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,6,32°C,₹16743,1.45,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,9,32°C,₹13854,4.65,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,6,32°C,₹8018,2.95,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,29°C,₹10580,3.93,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,5,32°C,₹13410,3.11,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,8,31°C,₹20236,4.6,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,9,30°C,₹8689,1.92,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,1,29°C,₹10208,4.44,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,8,29°C,₹12335,1.97,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,7,31°C,₹19609,2.64,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,4,28°C,₹16147,1.76,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,36,31°C,₹16185,2.77,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,29°C,₹21317,2.93,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,8,31°C,₹16690,2.14,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,6,28°C,₹9997,1.23,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹10245,3.7,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,32°C,₹9302,2.68,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,29°C,₹16703,1.52,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,2,31°C,₹11276,3.15,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,3,30°C,₹17338,2.75,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹16666,4.56,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,30°C,₹14671,3.02,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,1,30°C,₹9444,2.33,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,9,32°C,₹22014,1.04,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,1,31°C,₹12176,2.23,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,28°C,₹19589,4.54,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,3,31°C,₹8812,3.95,Medium,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,1,28°C,₹20535,4.43,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,29°C,₹15304,3.64,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,30°C,₹24692,3.72,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,1,32°C,₹16698,1.43,Medium,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,5,31°C,₹14228,1.18,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,6,28°C,₹18819,3.65,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,5,30°C,₹21185,3.22,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,7,32°C,₹17861,3.19,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,8,32°C,₹18559,2.77,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,30°C,₹24890,1.37,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,28°C,₹9514,4.94,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,7,,₹24199,1.98,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,1,32°C,₹23222,3.23,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,7,31°C,₹24540,4.32,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,9,29°C,₹17086,2.94,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,6,29°C,₹16903,2.28,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,2,29°C,₹15010,2.66,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,1,31°C,₹20762,4.43,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,31°C,,3.99,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,7,31°C,₹8951,2.34,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,2,31°C,₹8888,3.57,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,4,31°C,₹18726,2.82,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,1,28°C,₹23411,4.0,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,28°C,₹9016,1.8,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,8,28°C,₹15142,3.8,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,5,28°C,₹8841,3.3,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,2,28°C,₹271560,4.18,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,6,28°C,₹24579,1.05,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,31°C,₹13013,1.7,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,2,30°C,₹16044,2.12,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,8,30°C,₹8940,4.4,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,5,30°C,₹17163,3.22,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,8,31°C,₹15874,3.58,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,4,29°C,₹21251,2.22,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,5,30°C,₹22868,2.23,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,32°C,₹14066,1.87,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,6,30°C,₹15454,1.72,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,3,-14°C,₹17572,3.55,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,27,31°C,₹23686,2.36,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,31°C,₹24113,3.31,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,2,28°C,₹16132,3.23,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,5,30°C,₹22051,3.27,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,3,30°C,₹10660,1.96,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,5,32°C,₹23398,1.13,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,7,30°C,₹14482,1.46,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,28°C,₹13436,3.38,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,31°C,₹16920,3.16,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,1,32°C,₹16204,1.37,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,5,32°C,₹22490,1.73,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,6,31°C,₹18921,3.68,High,Hotel,No,Flight
